# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
5715;0;0;220.875;-57.567;9.8;OPNCL;6;0
2355;0;0;109.246;13.75;9.7;OPNCL;6;0
2311;0;0;104.4471;-4.61;9.6;OPNCL;6;0
6507;0;0;269.952;-17.418;9.6;OPNCL;6;0
6268;0;0;255.532;-39.715;9.5;OPNCL;6;0
6366;0;0;261.93433;-5.07986;9.5;GLOCL;6;0
381;0;0;17.0829;61.5839;9.3;OPNCL;6;0
6704;0;0;282.687;-5.21;9.2;OPNCL;6;0
146;0;0;8.28;63.3;9.1;OPNCL;6;0
6400;0;0;265.05;-36.945;8.8;HX?;6;0
5897;0;0;229.35167;-21.01011;8.52;GLOCL;6;0
2236;0;0;97.418;6.817;8.5;OPNCL;6;0
3960;0;0;177.638;-55.673;8.3;OPNCL;6;0
7062;0;0;320.862;46.39;8.3;OPNCL;6;0
6249;0;0;254.4;-44.82;8.2;OPNCL;6;0
6451;0;0;267.671;-30.21;8.2;OPNCL;6;0
1778;0;0;77.017;37.023;7.7;OPNCL;6;0
6866;0;0;300.979;44.158;7.6;OPNCL;6;0
6716;0;0;283.642;-19.902;7.5;OPNCL;6;0
